"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor"
100,0.4,"M12",1949,2.21414466665663,3.2161167605801,-1.00197209392347,1.59196688870193,1.88069304082851,0.561646605849129
100,0.4,"M2",1947,2.09366109039905,2177.97997023425,-2175.88630914385,95933.630975575,95933.6705225832,-0.0241282086386635
100,0.4,"M3",1949,1.93213588679532,2.67080961604383,-0.738673729248516,0.843778950835245,1.12126557943885,0.444513937312543
100,0.4,"M4",1949,2.21954743540596,3.8963164772155,-1.67676904180954,2.4965245216811,3.0068241125945,0.508100741428576
100,0.4,"M5",1949,2.09098710703873,2.92136703928812,-0.830379932249386,1.00889261874838,1.30647345879149,0.442790948116159
100,0.4,"M6",1949,2.2685119955964,14.2466707994732,-11.9781588038768,342.298458977244,342.420201219021,-0.0411870863107439
100,0.4,"M7",1906,2.27618615823466,9412.44411892997,-9410.16793277174,128069.295092044,128381.035529296,0.0514163262286361
100,0.4,"M8",1945,2.44827980161475,424.956938459534,-422.508658657919,9974.56737892133,9980.94961749305,0.113995802022769
100,0.4,"M9",1946,2.48943032074671,1281.50247120044,-1279.01304087969,49198.2403279297,49202.2246372365,-0.0240496820254071
100,0.4,"Msat",1949,4.86417288531759,4.96635613340777,-0.102183248090176,1.21117037574975,1.2151635427477,0.523259198605878
250,0.1,"M1",1976,0.471006947830606,0.677726810230379,-0.206719862399773,0.266031870863819,0.336853442245209,0.409541468223379
250,0.1,"M10",1976,0.490948136780178,0.77257830898772,-0.281630172207542,0.26709309004655,0.388095568201703,0.484714426746492
250,0.1,"M11",1976,0.41346820811544,1.20821460831985,-0.79474640020441,0.500617234190832,0.939208509879377,0.426707430478369
250,0.1,"M12",1976,0.462936141161712,1.37814804288353,-0.91521190172182,0.987508146290529,1.34621382245716,0.476390679464594
250,0.1,"M2",1976,0.452809265141511,0.808126762731948,-0.355317497590437,0.286051541302954,0.456108099815919,0.383704569818968
250,0.1,"M3",1976,0.426934689739417,0.781083477485418,-0.354148787746,0.248944676056442,0.432855001722223,0.382607686367573
250,0.1,"M4",1976,0.473332249889534,2.00209781008684,-1.5287655601973,0.916891515522931,1.78252313837788,0.665965262020272
250,0.1,"M5",1976,0.458331416811509,0.828109720084428,-0.369778303272919,0.268250183092149,0.456790694111785,0.380947538841561
250,0.1,"M6",1976,0.499491925427508,0.686925617083666,-0.187433691656158,0.246132681138365,0.309325115277182,0.424650528484879
250,0.1,"M7",1967,0.492460345525257,515.45803143886,-514.965571093335,12855.7686142767,12862.8128514329,-0.00933181005836553
250,0.1,"M8",1976,0.490884113989487,0.772184057014167,-0.28129994302468,0.301217879001305,0.412087310487826,0.442435279577894
250,0.1,"M9",1976,0.518595021487655,0.785482421837628,-0.266887400349974,0.289765765746596,0.393891598616594,0.393465380532823
250,0.1,"Msat",1976,1.05614721017308,1.06520668157983,-0.00905947140674629,0.331880016985424,0.331919687018999,0.559850849306021
250,0.25,"M1",1982,1.21456423079842,1.47411518046221,-0.259550949663786,0.409734995610932,0.484937891263302,0.405523851455976
250,0.25,"M10",1982,1.26565186054244,1.59605580161144,-0.330403941068997,0.389151133229802,0.51042037753506,0.489141818855425
250,0.25,"M11",1982,1.06017838620956,1.8580403454197,-0.797861959210142,0.570365626280695,0.980681659817364,0.534291740969735
250,0.25,"M12",1982,1.1896635253727,2.08074831047834,-0.891084785105638,0.954491509752992,1.30561344679053,0.614629294499414
250,0.25,"M2",1982,1.1667780915734,1.55768503387188,-0.390906942298482,0.40376137244563,0.561915680085881,0.425230526312978
250,0.25,"M3",1982,1.09893118327156,1.47435483366664,-0.375423650395083,0.350293763591092,0.51340698089909,0.409150840219569
250,0.25,"M4",1982,1.21860585640966,2.70022777304009,-1.48162191663043,0.903165596212722,1.73507926042363,0.761085870911976
250,0.25,"M5",1982,1.18177713233013,1.57589439725085,-0.394117264920724,0.373251700701192,0.542747602067082,0.417465991485574
250,0.25,"M6",1982,1.28896180060742,1.53693382183823,-0.247972021230816,0.406472286174685,0.476053025030566,0.373517329037299
250,0.25,"M7",1962,1.25820631347559,902.448634270754,-901.190427957279,14047.6702499454,14072.9742452629,-0.0348285434589284
250,0.25,"M8",1982,1.26567292244574,1.60311486567338,-0.337441943227644,0.450863193046009,0.563064935888103,0.431332015022236
250,0.25,"M9",1982,1.33943880220261,1.67236582700088,-0.332927024798268,0.460780548880941,0.568376630940892,0.385390221068807
250,0.25,"Msat",1982,2.73068857476207,2.76427211997098,-0.0335835452089034,0.556300575621552,0.557173262564338,0.504630457604389
250,0.4,"M1",1976,2.00255185629966,2.3165762390413,-0.314024382741638,0.532136447617883,0.617767923729615,0.408698515828288
250,0.4,"M10",1976,2.09047819181583,2.47854156941528,-0.388063377599451,0.506639951868708,0.638080970593107,0.499654937755505
250,0.4,"M11",1976,1.74296124179409,2.54065741234248,-0.797696170548391,0.617533429996005,1.00869902747345,0.611844390859599
250,0.4,"M12",1976,1.94892770133012,2.79566301814789,-0.846735316817764,0.682736341300752,1.08759078392609,0.692834506157189
250,0.4,"M2",1976,1.92024355931571,2.34475877601594,-0.424515216700229,0.497150448800518,0.653641077125099,0.419061762227856
250,0.4,"M3",1976,1.80668922371776,2.20390786698432,-0.397218643266569,0.422698217577336,0.57997069904139,0.399568263896588
250,0.4,"M4",1976,1.99324281013245,3.40428871825517,-1.41104590812272,0.956658004864184,1.7046354267027,0.790792490667615
250,0.4,"M5",1976,1.94855921551495,2.36803027838228,-0.419471062867329,0.453844160703844,0.617920914575238,0.417793335827681
250,0.4,"M6",1976,2.12667813191908,2.4347173278281,-0.308039195909019,0.537572804120402,0.61945655111522,0.338400007285232
250,0.4,"M7",1957,2.0603055402022,1028.92108895794,-1026.86078341774,17700.7244688235,17725.9693618418,-0.0194672090923241
250,0.4,"M8",1976,2.09079611940612,2.48953949289231,-0.398743373486187,0.591349808976432,0.713101608135841,0.445247466262658
250,0.4,"M9",1976,2.21468506238057,2.61721737365419,-0.402532311273619,0.615949127044599,0.735685794381455,0.403945583634867
