"n","miss_rate","model","chi2_com","chi2_MI","chi2_D3"
250,0.1,"M4",92.8053635948006,92.658648833622,93.2414637939056
250,0.1,"M5",34.0613843932766,33.9678784088875,34.5656942022491
250,0.1,"M6",21.7138196934418,21.651052291669,22.2077075764146
250,0.1,"M7",87.8939309145383,88.3724255102862,88.9362541278844
250,0.1,"M8",21.6133889694503,21.5674383363447,22.1327014325283
250,0.1,"M9",20.6272395666734,20.5735909621726,21.111143150858
250,0.25,"M1",22.6997216148191,22.5788680746639,24.0949924186276
250,0.25,"M10",21.6111524480502,21.5129583345656,22.9779950487852
250,0.25,"M11",101.880021496996,101.393584308904,103.064094497457
250,0.25,"M12",75.688143743402,75.4373732799909,76.9783983293803
250,0.25,"M2",30.0682636635383,29.9473131821823,31.511223665371
250,0.25,"M3",35.0586717435387,34.8972895429773,36.5290469344678
250,0.25,"M4",92.7354099426535,92.4915519101727,94.0036346285251
250,0.25,"M5",34.0412380441305,33.873800692604,35.4227121350359
250,0.25,"M6",21.7158370404496,21.5864307392896,23.0281575134443
250,0.25,"M7",87.8329689613285,88.7710219383703,90.2423900080942
250,0.25,"M8",21.6111524480925,21.512674981363,22.9776906336793
250,0.25,"M9",20.6279754859083,20.5150643013744,21.9063140739339
250,0.4,"M1",22.688673393667,22.5687619670254,25.104872490069
250,0.4,"M10",21.5987915410253,21.5172442793658,23.9654450968132
250,0.4,"M11",101.842174744598,101.039573225495,103.835274363044
250,0.4,"M12",75.636646799155,75.1876734032039,77.777408081217
250,0.4,"M2",30.0609233293226,29.871080069051,32.4894988890785
250,0.4,"M3",35.0504312781058,34.7897185783141,37.5216917339395
250,0.4,"M4",92.6806984732878,92.1794639099278,94.7248834791386
250,0.4,"M5",34.0323803428861,33.7654347905298,36.355537954358
250,0.4,"M6",21.7027601900318,21.5563992851428,23.9683835325669
250,0.4,"M7",87.8629215055891,88.1312771297206,90.6111974956533
250,0.4,"M8",21.5987915410759,21.5216533423565,23.9695196022936
250,0.4,"M9",20.6140630748235,20.5016025517402,22.8255798687028
500,0.1,"M1",22.1947976544753,22.2343895008626,22.802294509393
500,0.1,"M10",21.220149742816,21.2584130223885,21.810313329994
500,0.1,"M11",179.776468823852,179.638353449782,180.261690451875
500,0.1,"M12",127.299257377691,127.243195690894,127.832028934439
500,0.1,"M2",36.180500645439,36.2459758697858,36.8312732525971
