"method","model","tr_RIV","term1","term2","term3","total"
"amelia","M8",1.96383667557331,5.16804107561666,-0.162720129718309,-0.819743066298088,4.18557787960026
"amelia","M9",2.0535432320433,5.1752579158051,-0.16168185411334,-0.819808283000384,4.19376777869138
"amelia","M10",1.96304923370613,5.17108296106926,-0.165849258742583,-0.819749576308368,4.18548412601831
"amelia","M11",2.29428894533646,0.37745975998223,-0.394031926806292,-0.454373043055057,-0.470945209879119
"amelia","M12",2.505811340616,0.925581278459049,-0.209987117226319,-0.525924821532954,0.189669339699776
"amelia","Msat",4.07480893138581,5.78013817953843,-0.289191593890791,-2.5510239291425,2.93992265650513
"amelia","M1",1.97031543192062,0.674027085761736,0.00280171867188983,-1.01644772383543,-0.339618919401801
"amelia","M2",1.87128223232731,0.953177244457493,0.0529946815131552,-1.05551058394076,-0.0493386579701109
"amelia","M3",1.8164496530326,0.519034717506202,0.0590728129773197,-1.02162384425765,-0.443516313774126
"amelia","M4",1.97267325118582,-2.03225209551556,-0.109592897048969,-0.72705913861364,-2.86890413117817
"amelia","M5",1.96234302278343,0.42252261609201,0.0610424042956765,-1.03307115451844,-0.549506134130752
"amelia","M6",2.10292013272223,0.42426498570785,0.00246433935308232,-1.02552358593948,-0.598794260878549
"amelia","M7",2.15255520924139,-0.734366568904079,-0.159244085526097,-0.948220486086484,-1.84183114051666
"amelia","M8",2.01618644863819,0.67203302284679,-0.0154637841733347,-1.04465560291692,-0.388086364243463
"amelia","M9",2.14613539913293,0.427385539390798,-0.0164283757903831,-1.05445236487549,-0.643495201275073
"amelia","M10",2.02028094230204,0.676056116869859,-0.019541477565781,-1.04465455456057,-0.388139915256488
"amelia","M11",1.90045178947281,-3.48083540942616,-0.170271302193669,-0.546967354549452,-4.19807406616928
"amelia","M12",2.08966931894669,-2.72296121622458,0.0323082865834294,-0.79426851949529,-3.48492144913644
"amelia","Msat",4.48846479244358,2.14732623990039,-0.177568558468465,-1.83218956748624,0.13756811394569
"amelia","M1",2.12053555954006,3.35498435501222,-0.110163314188867,-0.951926021107283,2.29289501971607
"amelia","M2",2.00732237688912,2.4821682567067,0.028128539986028,-1.01925095424212,1.4910458424506
"amelia","M3",1.95270981082218,2.61460094221457,0.0449414257282115,-1.01733870747012,1.64220366047266
"amelia","M4",2.63569960832437,2.0830228386003,-0.162931729531465,-0.91778360833905,1.00230750072978
"amelia","M5",2.05865637486366,3.2427250479941,0.148889814229278,-1.43885500533952,1.95275985688386
"amelia","M6",2.23788904612303,4.16612246152818,-0.0302933978477995,-1.40500496644563,2.73082409723474
"amelia","M7",2.22095441165415,4.55890273103296,-0.0590983021193097,-1.15003295727911,3.34977147163454
"amelia","M8",2.24296556381086,3.32525154998439,-0.125966363725183,-0.948519310358733,2.25076587590047
"amelia","M9",2.36217086642065,4.13744276444868,-0.0504651496830775,-1.39920295195998,2.68777466280562
"amelia","M10",2.24282067667038,3.32882615691369,-0.129837983597554,-0.948509066347015,2.25047910696912
"amelia","M11",1.8638425223275,0.467569916883804,0.00627919383532571,-0.821074856780797,-0.347225746061667
"amelia","M12",1.94861331237619,2.2287098752322,-0.0160568019496168,-0.910302687168496,1.30235038611409
"amelia","Msat",4.62926753891207,8.5494784306884,-0.173032321285518,-2.26291516525862,6.11353094414426
"amelia","M1",2.33638684279343,-3.72517218654684,-0.204992594241958,-1.24701159455117,-5.17717637533997
"amelia","M2",2.25745368545602,-2.81802748855807,-0.0893046098667583,-1.18937292462215,-4.09670502304698
"amelia","M3",2.11810072303847,-2.9653819532632,-0.0474202649047584,-0.970236096256485,-3.98303831442445
"amelia","M4",2.38118596352841,-5.04514335598515,-0.194619882555799,-1.16226435319686,-6.40202759173781
"amelia","M5",2.27829984655433,-2.90602807225787,-0.0590338651454658,-0.979410732323231,-3.94447266972657
"amelia","M6",2.51415129365602,-3.64721260027545,-0.231767370808484,-1.25983647933936,-5.13881645042329
"amelia","M7",2.12303963799967,-1.72913261474469,-0.223479486411179,-1.57652362030012,-3.52913572145599
"amelia","M8",2.41365603163021,-3.42355331279077,-0.252916188658219,-1.30548794824927,-4.98195744969826
"amelia","M9",2.60467714808239,-3.27444795670999,-0.297223104229488,-1.3328839122205,-4.90455497315997
"amelia","M10",2.41180702390764,-3.41743795975572,-0.259194247396863,-1.3054852112482,-4.98211741840078
"amelia","M11",2.07432787953651,-6.54198098896859,-0.212776856967139,-1.1762095075228,-7.93096735345853
"amelia","M12",2.387732611098,-3.17263049574331,-0.17911852082716,-1.18807142824426,-4.53982044481472
"amelia","Msat",5.30544620261101,2.66252815301686,-0.198367553744902,-3.34548719651411,-0.88132659724215
"amelia","M1",1.75570173974543,-10.5705384702151,0.0219679157953578,-0.798888932867158,-11.3474594872869
"amelia","M2",1.7196556866332,-10.6592200386049,0.0513164599756237,-0.841030899407997,-11.4489344780372
"amelia","M3",1.62865327693896,-11.2268829383966,0.0548970354625453,-0.80417003200273,-11.9761559349367
"amelia","M4",1.76697659637519,-13.4660752528489,0.0690725271952033,-0.79148361513262,-14.1884863407863
"amelia","M5",1.77061901754833,-11.0119573078009,0.0513909323262851,-0.860770119876634,-11.8213364953513
"amelia","M6",1.90972286551403,-10.3860332401478,0.0240087151278203,-0.872041206544509,-11.2340657315644
"amelia","M7",1.75476197713394,-8.01965056899007,0.434853154086341,-1.48146968579385,-9.06626710069759
"amelia","M8",1.80406113240216,-10.5808331724033,0.0271508331497898,-0.829347326479365,-11.3830296657329
"amelia","M9",1.95693106059371,-10.3968300686047,0.0292485482200391,-0.902019892877888,-11.2696014132625
"amelia","M10",1.80809464747263,-10.5749086758406,0.0211638137311638,-0.829357611350133,-11.3831024734595
"amelia","M11",1.51255426833625,-14.6346749473123,0.0289806107743971,-0.688836486285254,-15.2945308228232
"amelia","M12",1.66334558194951,-13.0933364620269,0.0472502775346584,-0.797863636410511,-13.8439498209027
"amelia","Msat",3.99165628857774,-9.6834197760827,0.164797199884106,-2.07031677912028,-11.5889393553189
"amelia","M1",2.24060117604437,-1.50839197552614,0.104067965320155,-1.3525068645049,-2.75683087471089
"amelia","M2",2.06257425144226,-1.34947720328637,0.09006088405431,-1.3410118287411,-2.60042814797316
"amelia","M3",2.02263414754799,-2.35871144613157,0.0129886962213277,-1.23426303200949,-3.57998578191973
"amelia","M4",2.18905223714958,-1.29557346097681,0.136211867442853,-1.14220687838588,-2.30156847191984
"amelia","M5",2.1487246775904,-0.845071080586422,0.226699473926601,-1.67131791877819,-2.28968952543801
"amelia","M6",2.37455317729161,-0.550910939025471,0.269952169482167,-1.69217740403883,-1.97313617358213
"amelia","M7",2.30508046186416,2.1938829688138,0.624338342331157,-2.1095324871676,0.708688823977354
"amelia","M8",2.32519866090215,-1.59549998343527,0.0996777972868585,-1.29857552186741,-2.79439770801582
"amelia","M9",2.46919824336731,-0.528305620001902,0.270201196843118,-1.64717476326678,-1.90527918642556
"amelia","M10",2.3332532313931,-1.59755482354831,0.101540702831699,-1.29857713884394,-2.79459125956055
"amelia","M11",1.92457342321131,-2.28752593383524,0.130083025078875,-1.19346515806774,-3.3509080668241
"amelia","M12",2.05597958559695,-0.435797230105891,0.162004424845691,-1.23862525002505,-1.51241805528525
"amelia","Msat",5.10235544740702,1.40687081153419,0.118624749578885,-2.82444202399483,-1.29894646288176
"amelia","M1",1.79275186075511,3.62981718536912,-0.132991662384939,-0.778536814738345,2.71828870824584
"amelia","M2",1.71236338062199,3.4983960557297,-0.121596029524881,-0.792190665097223,2.5846093611076
"amelia","M3",1.66062383357132,3.3615811040172,-0.107186651092888,-0.796438650266282,2.45795580265803
"amelia","M4",1.67257860589702,0.533981716902872,-0.145627538176541,-0.756822085012118,-0.368467906285787
"amelia","M5",1.7802414562532,3.30571226526263,-0.105467489036528,-0.797013413636705,2.40323136258939
"amelia","M6",1.93694912609181,3.5999249960978,-0.135948361256396,-0.774497209424226,2.68947942541718
"amelia","M7",1.43137014078034,-2.32492211395265,-3.60051426631617,-0.391128968431531,-6.31656534870035
"amelia","M8",1.82380708879937,3.58405069250375,-0.132745183015231,-0.785105920141177,2.66619958934734
"amelia","M9",1.96947380640433,3.55063474618282,-0.136382132521248,-0.780690538249928,2.63356207541165
"amelia","M10",1.82361899325791,3.58748290874837,-0.136216570334,-0.785101947476505,2.66616439093787
"amelia","M11",1.5930605084419,-0.531982211995,-0.090197051182713,-0.750615463264694,-1.37279472644241
"amelia","M12",1.68737055489116,0.179148706213709,-0.089761754104984,-0.762438890722024,-0.673051938613298
"amelia","Msat",3.91570727898993,3.57205922458661,-0.0689810370963642,-1.60503903183826,1.89803915565199
"amelia","M1",1.77350417710695,0.791194226287189,-0.0407311539943294,-1.35997599347093,-0.609512921178066
"amelia","M2",1.71119597609592,0.761702574642186,-0.049389183047424,-1.32115301748763,-0.60883962589287
"amelia","M3",1.64026637070321,-0.163845449220844,-0.044013621666636,-1.17623450693009,-1.38409357781757
"amelia","M4",1.61561668965721,1.84152327540141,0.197747263521705,-1.14190671584765,0.897363823075466
"amelia","M5",1.75069134824022,-0.131608628963022,-0.0188980292086853,-1.24726757903181,-1.39777423720352
"amelia","M6",1.90663846008571,0.820851755984677,-0.0250540573856597,-1.37998836079396,-0.584190662194942
"amelia","M7",1.84810178139329,0.227897839052275,0.0313877825215059,-1.39934992470853,-1.14006430313475
"amelia","M8",1.83635212856802,0.832597003268347,-0.040102059640958,-1.45575606121156,-0.66326111758417
"amelia","M9",1.97056568653735,0.862139002441381,-0.0239492002156112,-1.47736073033957,-0.639170928113799
"amelia","M10",1.83475791932228,0.832867072680529,-0.0404118234523594,-1.45574345864725,-0.663288209419079
"amelia","M11",1.56435377455925,0.171677186126544,0.169660890091563,-0.910349466676962,-0.569011390458854
"amelia","M12",5.07403159982919,0.469659360026526,-0.506952990966965,-1.41021517977833,-1.44750881071877
"amelia","Msat",4.04956000826095,6.3928797182657,-0.329494373756461,-3.03143591252456,3.03194943198469
"amelia","M1",2.20050817161169,1.78593171448165,0.0358623154161251,-0.955838906363624,0.86595512353415
